学生ID,学部,テストスコア,出席日数,クラス参加度,経済的背景,退学リスク,初任給,業界
1252,理,98,31,7,低,低,2824562,金融
1253,理,73,40,9,高,低,2892054,製造
1254,工,73,36,6,中,高,4002026,IT
1255,工,76,36,6,中,高,4072826,教育
1256,理,98,33,5,低,低,2855273,教育
1257,工,87,36,9,低,高,4094494,IT
1258,文,88,36,5,高,中,2530408,IT
1259,経済,80,42,10,低,低,4472506,製造
1260,工,89,36,8,高,高,4026890,製造
1261,経済,85,42,7,高,低,4473609,IT
1262,経済,94,38,8,中,低,4490225,製造
1263,工,81,37,9,低,高,3991884,教育
1264,経済,100,39,8,中,低,4474546,金融
1265,経済,96,40,9,中,低,4564959,製造
1266,理,72,35,4,高,低,3039987,金融
1267,工,78,34,8,中,高,3960218,金融
1268,経済,98,39,8,高,低,4412201,製造
1269,工,84,36,7,低,高,4020413,金融
1270,文,86,39,5,高,中,2514884,金融
1271,工,81,38,8,高,高,4045597,IT
1272,文,66,40,8,高,中,2424021,製造
1273,工,90,38,7,高,高,3921355,金融
1274,文,76,36,5,低,中,2406748,製造
1275,工,87,33,6,中,高,3909482,教育
1276,経済,81,39,8,高,低,4483317,製造
1277,工,73,34,8,中,高,4017882,教育
1278,経済,94,41,9,高,低,4573424,製造
1279,理,99,34,7,高,低,3078371,教育
1280,経済,86,38,10,低,低,4558221,製造
1281,文,79,36,7,中,中,2574994,金融
1282,工,87,37,7,中,高,4077531,製造
1283,工,77,33,8,高,高,3975511,金融
1284,理,67,30,9,高,低,2864836,IT
1285,文,67,38,8,高,中,2404394,金融
1286,文,74,36,8,中,中,2537985,教育
1287,理,96,33,5,高,低,2984931,製造
1288,理,86,38,4,高,低,2910291,製造
1289,理,74,35,6,低,低,2830367,IT
1290,経済,87,40,9,高,低,4550002,教育
1291,経済,85,41,8,高,低,4533891,教育
1292,文,54,36,5,低,中,2522525,IT
1293,工,81,36,8,中,高,3931837,IT
1294,経済,100,40,10,中,低,4511537,IT
1295,経済,93,42,9,高,低,4554172,金融
1296,経済,83,38,10,中,低,4578808,金融
1297,工,85,33,8,低,高,4069418,教育
1298,文,68,38,5,高,中,2547742,製造
1299,工,81,33,8,高,高,4050100,金融
1300,工,93,37,6,高,高,3991121,金融
1301,経済,98,39,7,中,低,4458484,金融
1302,経済,84,42,9,低,低,4571322,製造
1303,理,92,37,5,低,低,2870803,教育
1304,経済,93,41,10,低,低,4585715,製造
1305,経済,89,42,9,高,低,4461093,製造
1306,文,84,39,7,低,中,2542408,金融
1307,理,87,31,5,高,低,2844882,金融
1308,工,95,34,8,低,高,4076141,IT
1309,工,92,37,6,低,高,4061144,金融
1310,経済,83,38,10,中,低,4464881,金融
1311,理,99,32,7,中,低,3087186,教育
1312,文,60,36,7,高,中,2505560,IT
1313,工,81,34,7,中,高,4091077,製造
1314,文,90,37,5,高,中,2575110,製造
1315,理,67,35,7,高,低,2817572,金融
1316,文,62,39,6,中,中,2472363,IT
1317,文,52,37,5,低,中,2486482,教育
1318,工,70,35,6,中,高,3961788,製造
1319,経済,94,38,9,高,低,4413512,教育
1320,工,89,34,6,低,高,4052103,IT
1321,文,72,38,5,中,中,2519083,教育
1322,理,79,33,9,低,低,2959212,教育
1323,文,58,37,6,高,中,2551557,製造
1324,理,95,36,5,高,低,2878982,金融
1325,経済,88,40,7,低,低,4463540,製造
1326,文,82,37,6,中,中,2566612,教育
1327,文,53,35,6,低,中,2400029,IT
1328,文,73,37,7,中,中,2524359,教育
1329,経済,98,40,10,高,低,4500533,IT
1330,文,84,40,5,低,中,2537356,金融
1331,工,95,35,9,低,高,3919197,教育
1332,工,82,34,6,低,高,4063634,教育
1333,経済,99,39,7,低,低,4412410,教育
1334,文,87,40,6,高,中,2497780,金融
1335,工,85,33,8,中,高,4082226,教育
1336,理,98,35,4,低,低,3000335,製造
1337,工,86,33,6,低,高,4068813,製造
1338,文,55,35,5,高,中,2447509,金融
1339,工,88,36,8,高,高,3918732,教育
1340,工,81,35,9,高,高,3975388,製造
1341,理,87,35,9,低,低,3137193,IT
1342,経済,90,40,8,中,低,4581389,製造
1343,工,83,33,6,高,高,3905176,教育
1344,文,84,37,7,中,中,2430025,製造
1345,理,78,33,6,中,低,3186062,製造
1346,経済,99,41,10,低,低,4527989,IT
1347,理,63,39,7,高,低,2894134,金融
1348,経済,99,38,9,低,低,4455235,製造
1349,理,94,31,5,低,低,3061220,教育
1350,文,64,35,8,低,中,2431521,IT
1351,文,79,37,7,低,中,2405653,金融
1352,理,100,36,6,高,低,2979104,IT
1353,理,73,34,5,中,低,3162080,金融
1354,文,79,37,7,高,中,2450578,IT
1355,文,62,35,5,低,中,2573248,教育
1356,工,75,38,8,高,高,3929099,教育
1357,理,92,39,4,高,低,2952496,IT
1358,経済,80,38,9,中,低,4447954,IT
1359,経済,85,42,8,中,低,4431372,教育
1360,理,92,30,5,中,低,3045858,教育
1361,理,88,30,4,低,低,3082583,製造
1362,工,82,38,6,高,高,4013768,IT
1363,理,65,37,7,高,低,2886991,金融
1364,文,79,40,7,高,中,2473876,金融
1365,理,86,33,8,低,低,3139947,IT
1366,理,85,30,7,低,低,3057006,IT
1367,工,87,38,6,中,高,4028018,製造
1368,工,76,35,7,中,高,3905634,IT
1369,文,60,38,8,中,中,2441760,教育
1370,文,74,38,8,低,中,2593528,IT
1371,文,61,35,7,低,中,2497344,IT
1372,文,59,39,6,低,中,2406727,製造
1373,理,71,37,7,中,低,2805593,製造
1374,経済,80,39,8,低,低,4571967,教育
1375,理,61,34,7,高,低,2974981,教育
1376,文,63,38,7,中,中,2525492,教育
1377,文,71,39,8,中,中,2438979,教育
1378,経済,95,41,7,低,低,4525897,IT
1379,理,61,35,8,中,低,2845581,金融
1380,工,79,35,6,中,高,3945991,IT
1381,文,64,35,6,低,中,2436920,教育
1382,文,69,38,5,中,中,2420981,教育
1383,理,98,38,5,中,低,2938823,金融
1384,工,76,33,9,低,高,4072568,IT
1385,文,78,37,6,低,中,2429697,製造
1386,理,69,38,7,低,低,3081544,教育
1387,経済,80,39,10,低,低,4587803,教育
1388,文,50,37,8,低,中,2495886,IT
1389,工,70,36,7,高,高,4040006,製造
1390,文,72,40,5,中,中,2507826,教育
1391,理,90,30,6,低,低,3139483,IT
1392,経済,98,38,10,中,低,4438240,金融
1393,工,89,35,6,高,高,3958826,教育
1394,工,78,33,8,中,高,3994026,製造
1395,工,90,36,9,低,高,3985815,教育
1396,理,85,36,5,高,低,2833781,IT
1397,文,58,38,5,高,中,2413792,金融
1398,文,66,36,6,中,中,2495247,製造
1399,工,70,36,7,低,高,4004621,製造
1400,理,93,38,9,高,低,3035331,製造
1401,理,90,34,4,中,低,2893525,IT
1402,工,82,37,6,中,高,4034707,教育
1403,理,96,36,4,低,低,2848764,教育
1404,理,76,34,6,中,低,3169061,製造
1405,経済,98,38,8,高,低,4548152,IT
1406,理,68,38,4,高,低,3189011,IT
1407,工,89,35,9,高,高,3985453,製造
1408,理,76,38,9,低,低,3118553,IT
1409,理,72,37,8,中,低,2843780,IT
1410,理,100,39,7,中,低,3035137,金融
1411,経済,82,40,10,低,低,4562494,IT
1412,経済,81,38,10,高,低,4407112,製造
1413,工,72,34,6,高,高,4031318,IT
1414,工,93,38,8,中,高,4062832,IT
1415,工,95,36,8,低,高,4068128,IT
1416,文,60,39,6,中,中,2517408,金融
1417,経済,93,41,8,高,低,4443060,金融
1418,文,88,40,7,低,中,2468583,製造
1419,理,79,40,6,高,低,2834018,製造
1420,経済,95,39,8,中,低,4589082,製造
1421,理,90,36,8,低,低,3062988,教育
1422,経済,91,39,10,中,低,4449354,金融
1423,経済,85,41,9,低,低,4431558,教育
1424,理,95,37,6,高,低,2843429,IT
1425,工,71,34,7,中,高,3908421,金融
1426,経済,99,42,8,高,低,4487270,IT
1427,文,74,39,6,中,中,2525335,金融
1428,文,54,40,5,低,中,2462190,金融
1429,経済,92,39,7,中,低,4483823,IT
1430,文,54,39,6,中,中,2554862,製造
1431,経済,97,42,7,高,低,4498184,金融
1432,理,75,37,5,中,低,2860146,教育
1433,経済,91,40,7,高,低,4509450,教育
1434,理,69,34,7,高,低,2973351,金融
1435,経済,85,40,10,高,低,4557857,教育
1436,理,67,39,6,中,低,3185738,金融
1437,経済,96,41,9,中,低,4441443,IT
1438,理,96,39,8,低,低,2822463,金融
1439,経済,83,41,9,中,低,4421251,IT
1440,理,71,37,9,高,低,3190628,金融
1441,工,70,38,7,中,高,3915323,IT
1442,経済,80,39,7,中,低,4422862,金融
1443,工,71,38,8,中,高,4011566,IT
1444,理,89,35,8,高,低,2959202,金融
1445,文,85,35,6,低,中,2456518,IT
1446,文,70,37,8,低,中,2456020,製造
1447,工,80,35,7,中,高,3921748,金融
1448,文,87,36,7,高,中,2550885,製造
1449,経済,99,42,8,低,低,4527421,IT
1450,理,83,38,5,中,低,3125941,教育
1451,経済,87,41,9,中,低,4581853,教育
1452,理,62,35,4,高,低,2929718,製造
1453,工,95,34,8,低,高,4043635,教育
1454,工,83,35,9,低,高,4012376,金融
1455,理,82,39,6,低,低,3109034,IT
1456,経済,91,40,8,低,低,4572397,金融
1457,工,80,33,8,高,高,3946389,IT
1458,理,90,30,6,中,低,3150570,製造
1459,工,94,34,8,低,高,4000572,製造
1460,理,79,36,7,高,低,3050741,IT
1461,文,80,40,6,低,中,2437231,金融
1462,経済,80,39,8,高,低,4561467,製造
1463,理,66,39,8,低,低,3100196,IT
1464,経済,93,40,10,高,低,4423729,製造
1465,経済,86,41,8,低,低,4481030,IT
1466,経済,82,38,10,中,低,4463442,教育
1467,理,60,37,8,中,低,3013151,金融
1468,工,83,37,8,中,高,4095850,IT
1469,文,62,38,7,高,中,2579741,金融
1470,文,54,35,6,中,中,2592394,金融
1471,理,99,33,8,低,低,2889435,金融
1472,工,82,37,6,低,高,4049810,IT
1473,文,87,35,8,低,中,2599755,製造
1474,工,79,37,9,中,高,4020955,教育
1475,理,71,39,5,高,低,2985078,教育
1476,理,80,30,5,低,低,2875180,IT
1477,経済,92,39,9,低,低,4593620,製造
1478,経済,81,41,10,中,低,4489268,教育
1479,工,85,38,7,高,高,3998987,製造
1480,理,89,39,7,中,低,2835464,IT
1481,理,90,35,4,低,低,2822727,IT
1482,理,94,36,6,中,低,2997552,金融
1483,理,93,40,6,中,低,3019582,金融
1484,文,69,39,6,低,中,2439575,製造
1485,文,60,35,6,低,中,2452202,IT
1486,文,59,38,8,低,中,2584206,IT
1487,経済,100,41,9,高,低,4525037,IT
1488,工,92,35,8,高,高,3927352,IT
1489,工,74,35,7,低,高,3970108,教育
1490,理,68,33,7,低,低,2851379,教育
1491,経済,88,41,7,中,低,4478741,教育
1492,理,79,39,8,低,低,3037305,金融
1493,工,70,36,7,中,高,4093329,製造
1494,工,89,36,6,低,高,4093492,製造
1495,理,67,39,7,低,低,2973189,IT
1496,工,88,35,9,中,高,3931058,金融
1497,理,92,39,8,低,低,2835325,IT
1498,工,91,36,6,中,高,4055951,製造
1499,経済,81,39,10,高,低,4504791,製造
1500,文,89,39,5,高,中,2548630,IT
1501,理,69,34,4,低,低,2826418,製造
1502,文,67,37,7,低,中,2523297,IT
1503,理,73,32,4,高,低,3021584,製造
1504,文,67,37,8,高,中,2446600,金融
1505,理,90,36,5,低,低,2802186,教育
1506,工,86,38,7,低,高,3943349,IT
1507,工,72,38,6,中,高,4013746,教育
1508,理,78,35,4,高,低,3153485,IT
1509,経済,86,39,10,低,低,4450588,教育
1510,文,56,37,8,高,中,2558965,IT
1511,経済,91,38,7,低,低,4476600,製造
1512,経済,94,40,10,中,低,4541009,製造
1513,経済,88,38,8,低,低,4453418,IT
1514,理,67,34,4,低,低,3004358,金融
1515,理,98,40,4,低,低,3051245,教育
1516,文,76,39,7,高,中,2549982,金融
1517,理,79,31,6,高,低,2998095,金融
1518,経済,85,41,9,高,低,4496484,金融
1519,理,95,39,4,高,低,2982734,IT
1520,工,77,36,6,高,高,4085911,IT
1521,経済,86,39,10,中,低,4523290,教育
1522,理,94,37,5,低,低,2851387,IT
1523,経済,100,40,9,中,低,4410266,金融
1524,文,72,38,6,中,中,2412678,IT
1525,理,70,38,4,中,低,3140929,製造
1526,工,86,34,7,低,高,4068589,金融
1527,文,62,35,6,高,中,2506943,IT
1528,工,88,33,9,高,高,4026897,金融
1529,文,62,35,8,高,中,2483782,教育
1530,経済,97,40,10,中,低,4510081,IT
1531,経済,80,38,8,中,低,4434568,製造
1532,理,89,37,5,高,低,2814298,教育
1533,理,65,38,9,高,低,2922570,製造
1534,理,88,37,7,中,低,2951366,教育
1535,理,98,35,9,高,低,2816458,金融
1536,経済,88,38,8,低,低,4570166,金融
1537,経済,81,38,10,高,低,4575093,IT
1538,理,97,37,9,高,低,3032621,IT
1539,経済,84,41,9,低,低,4571420,IT
1540,理,100,34,9,高,低,2997731,IT
1541,理,84,35,6,中,低,2917964,金融
1542,工,83,36,8,高,高,3951446,金融
1543,工,83,35,8,中,高,3951976,IT
1544,理,65,38,9,低,低,3129533,金融
1545,工,88,35,8,低,高,4045292,IT
1546,経済,80,41,10,高,低,4427574,IT
1547,工,89,35,6,高,高,4069024,製造
1548,工,90,34,8,中,高,3936651,製造
1549,工,94,36,7,中,高,4041153,IT
1550,工,93,38,8,低,高,3955641,製造
1551,文,60,40,5,高,中,2586147,金融
1552,経済,91,40,8,高,低,4510843,製造
1553,工,90,33,6,中,高,4053271,製造
1554,理,73,32,8,中,低,2800134,製造
1555,工,90,34,8,低,高,4033205,製造
1556,文,80,40,6,高,中,2453516,教育
1557,文,64,40,8,中,中,2529628,金融
1558,工,82,35,6,中,高,4078992,製造
1559,理,70,39,7,中,低,3054008,IT
1560,理,79,40,5,高,低,3154477,製造
1561,文,51,38,8,中,中,2550344,教育
1562,理,88,35,5,高,低,2863719,教育
1563,理,79,39,6,低,低,3034311,製造
1564,文,67,40,5,中,中,2502083,IT
1565,工,72,36,9,低,高,3930466,IT
1566,理,90,36,8,低,低,2853943,教育
1567,理,94,35,4,中,低,2948303,IT
1568,理,91,31,8,高,低,3009712,IT
1569,工,82,33,6,低,高,3952757,教育
1570,工,88,38,8,中,高,3956704,製造
1571,文,58,35,5,高,中,2547405,IT
1572,工,88,34,8,高,高,3947395,IT
1573,経済,91,41,8,低,低,4456183,IT
1574,経済,96,41,10,高,低,4428902,製造
1575,工,95,38,6,低,高,4088028,製造
1576,経済,93,38,10,高,低,4434942,教育
1577,経済,89,41,8,高,低,4539332,製造
1578,理,68,34,7,中,低,3156329,金融
1579,文,78,39,5,高,中,2529794,金融
1580,理,72,40,9,中,低,2880894,製造
1581,文,73,39,6,高,中,2458141,金融
1582,文,64,35,5,高,中,2434619,金融
1583,経済,92,40,9,高,低,4539118,IT
1584,文,72,36,7,中,中,2561970,教育
1585,経済,80,40,9,高,低,4440566,IT
1586,経済,99,38,9,高,低,4458038,教育
1587,理,96,36,4,中,低,3082025,教育
1588,工,87,34,9,中,高,3926636,金融
1589,文,78,39,7,高,中,2493786,教育
1590,文,62,37,5,高,中,2465218,金融
1591,文,74,37,8,中,中,2529054,金融
1592,工,74,35,6,中,高,3978539,IT
1593,文,66,37,8,低,中,2425517,製造
1594,文,71,37,5,高,中,2522136,教育
1595,理,87,32,5,中,低,2996152,教育
1596,経済,85,38,9,中,低,4408748,教育
1597,工,85,33,9,高,高,3964680,製造
1598,工,73,36,7,高,高,4021672,教育
1599,文,81,39,5,高,中,2482544,教育
1600,文,78,38,6,低,中,2452601,IT
1601,経済,91,42,9,中,低,4448738,金融
1602,文,66,35,7,低,中,2416853,製造
1603,工,86,34,9,高,高,4020630,製造
1604,理,81,40,9,高,低,3045104,教育
1605,文,77,36,8,中,中,2575596,教育
1606,経済,80,38,7,中,低,4435441,金融
1607,文,89,36,7,低,中,2422018,教育
1608,理,79,31,5,高,低,3185978,製造
1609,経済,82,40,9,低,低,4528178,IT
1610,文,85,40,8,高,中,2465070,教育
1611,文,63,38,5,中,中,2518350,金融
1612,理,76,33,5,高,低,2855750,教育
1613,文,60,37,8,低,中,2575891,IT
1614,経済,86,40,8,低,低,4541625,金融
1615,工,91,34,9,中,高,4092833,教育
1616,理,64,39,5,低,低,2846625,教育
1617,工,94,37,6,中,高,4088963,IT
1618,文,51,35,7,低,中,2400717,教育
1619,経済,89,41,9,高,低,4595345,金融
1620,経済,82,41,8,高,低,4425045,製造
1621,経済,89,39,8,高,低,4411072,IT
1622,工,94,38,8,低,高,3987957,製造
1623,文,66,35,6,中,中,2551209,教育
1624,経済,85,39,7,中,低,4562251,金融
1625,工,85,38,6,高,高,3957356,金融
1626,経済,84,38,10,中,低,4419593,金融
1627,理,77,30,8,中,低,2908676,製造
1628,文,52,37,8,中,中,2499538,教育
1629,文,68,35,8,高,中,2433062,金融
1630,経済,96,38,8,低,低,4423251,製造
1631,理,87,31,4,中,低,3003742,金融
1632,工,72,35,9,中,高,4075303,IT
1633,理,70,36,6,低,低,2938770,教育
1634,文,68,40,5,低,中,2508981,教育
1635,文,67,35,6,低,中,2586265,金融
1636,工,79,36,9,高,高,3958205,IT
1637,工,90,36,8,高,高,3964193,製造
1638,理,83,33,5,高,低,3005320,IT
1639,文,85,40,5,低,中,2426478,教育
1640,工,77,36,7,低,高,4021877,教育
1641,理,89,31,4,低,低,2911397,製造
1642,経済,100,39,9,中,低,4545334,製造
1643,工,78,36,8,低,高,3965421,IT
1644,文,88,37,6,高,中,2452707,教育
1645,経済,86,41,7,高,低,4519280,製造
1646,理,77,30,7,高,低,3134615,IT
1647,文,74,40,6,中,中,2576897,金融
1648,工,76,36,7,高,高,4056164,製造
1649,経済,98,40,9,低,低,4560120,教育
1650,工,71,36,6,高,高,3990642,金融
1651,工,80,34,6,中,高,3909554,IT
1652,文,58,40,7,高,中,2511240,教育
1653,理,89,34,9,高,低,2816129,製造
1654,理,74,39,9,高,低,2939494,金融
1655,経済,90,42,7,低,低,4528481,製造
1656,経済,80,39,8,低,低,4481050,製造
1657,経済,92,42,8,低,低,4430682,教育
1658,文,79,36,6,低,中,2536560,IT
1659,文,88,36,6,高,中,2510588,IT
1660,経済,82,39,8,中,低,4542221,金融
1661,経済,90,40,7,中,低,4495836,金融
1662,工,86,38,9,低,高,4048493,金融
1663,理,95,31,6,低,低,3161562,教育
1664,経済,95,41,9,高,低,4455721,教育
1665,文,77,37,5,高,中,2459300,金融
1666,理,61,31,5,低,低,3032762,金融
1667,経済,88,42,7,低,低,4579607,製造
1668,経済,81,39,8,中,低,4459041,IT
1669,文,55,37,7,中,中,2582946,金融
1670,理,73,31,5,中,低,3153076,教育
1671,工,74,34,6,高,高,4007445,IT
1672,文,87,40,6,高,中,2477506,金融
1673,文,65,40,6,高,中,2487436,金融
1674,工,88,38,8,低,高,4089163,教育
1675,工,89,34,7,低,高,3930261,IT
1676,経済,97,40,8,低,低,4572989,製造
1677,経済,97,41,8,中,低,4515469,教育
1678,工,88,37,7,中,高,3925121,教育
1679,理,83,38,7,中,低,3043013,製造
1680,文,59,36,7,中,中,2538747,製造
1681,理,89,33,8,低,低,3056983,金融
1682,工,89,36,8,中,高,3971742,金融
1683,文,50,35,6,低,中,2570449,製造
1684,工,89,33,8,低,高,3959962,IT
1685,文,65,35,7,低,中,2484180,教育
1686,文,78,37,5,低,中,2527154,IT
1687,理,70,35,6,高,低,2808066,製造
1688,文,89,37,6,低,中,2583146,教育
1689,理,84,30,5,中,低,3107464,製造
1690,理,97,37,9,高,低,3106281,教育
1691,理,61,32,4,低,低,3070624,教育
1692,経済,88,39,8,低,低,4589559,IT
1693,経済,92,38,9,高,低,4578072,教育
1694,工,75,34,7,中,高,3965592,IT
1695,理,94,39,9,中,低,2857254,IT
1696,文,60,36,7,高,中,2589216,IT
1697,工,86,37,7,低,高,4036698,金融
1698,文,66,38,8,低,中,2459813,金融
1699,理,69,30,7,中,低,3090112,製造
1700,工,92,36,8,中,高,4012091,IT
1701,経済,85,39,7,中,低,4463882,教育
1702,経済,96,40,10,中,低,4553297,製造
1703,理,89,36,4,低,低,3051854,教育
1704,文,79,40,5,低,中,2585158,IT
1705,文,85,40,6,高,中,2468536,製造
1706,理,88,35,9,高,低,3115291,金融
1707,経済,97,42,7,高,低,4523407,金融
1708,経済,91,41,10,中,低,4590536,IT
1709,工,87,36,6,低,高,4059349,教育
1710,文,51,39,5,中,中,2571241,教育
1711,理,97,34,8,中,低,3111500,IT
1712,工,77,37,7,中,高,3931081,金融
1713,理,90,38,6,低,低,2883862,金融
1714,文,80,36,6,高,中,2418414,製造
1715,文,64,35,7,高,中,2442612,教育
1716,工,90,38,6,中,高,4000169,IT
1717,経済,85,38,10,高,低,4405849,製造
1718,経済,87,40,7,高,低,4518041,IT
1719,経済,96,40,10,中,低,4488426,教育
1720,工,94,37,7,中,高,4036362,教育
1721,経済,94,42,10,高,低,4484648,製造
1722,理,63,33,6,低,低,3197337,金融
1723,文,75,40,7,中,中,2443293,金融
1724,理,90,36,9,高,低,2901002,金融
1725,経済,81,41,7,高,低,4554414,製造
1726,理,85,33,8,高,低,3069211,金融
1727,工,73,34,6,中,高,3934929,IT
1728,経済,98,42,8,中,低,4533795,教育
1729,文,54,39,7,高,中,2437320,IT
1730,理,77,31,6,低,低,2827613,金融
1731,経済,99,38,10,低,低,4588427,IT
1732,文,80,38,5,中,中,2432976,製造
1733,経済,84,41,8,高,低,4452162,金融
1734,理,79,33,6,中,低,3052195,教育
1735,理,60,30,9,中,低,2947030,IT
1736,文,89,35,8,低,中,2441445,金融
1737,経済,83,41,10,高,低,4596501,教育
1738,理,62,35,4,中,低,3035612,金融
1739,文,74,37,6,低,中,2423181,IT
1740,工,94,35,8,低,高,3953394,IT
1741,理,100,33,6,低,低,3038536,教育
1742,理,67,39,7,中,低,2982708,金融
1743,理,67,31,6,低,低,2904743,IT
1744,文,67,40,8,中,中,2526055,教育
1745,理,71,31,5,高,低,2919238,製造
1746,文,57,37,6,高,中,2512201,IT
1747,理,62,34,4,中,低,2983042,IT
1748,理,86,36,4,中,低,3074677,IT
1749,工,84,33,7,中,高,3992835,教育
1750,経済,92,38,7,高,低,4596472,IT
1751,工,70,33,8,低,高,4026250,教育
1752,経済,82,39,10,低,低,4582863,IT
1753,経済,92,41,10,低,低,4423204,IT
1754,経済,99,39,9,高,低,4527006,製造
1755,理,81,35,8,中,低,2801045,金融
1756,文,52,37,6,低,中,2568793,製造
1757,経済,95,39,7,高,低,4505872,金融
1758,経済,94,41,9,高,低,4465652,金融
1759,工,93,36,7,高,高,4006934,金融
1760,経済,88,38,8,低,低,4422689,IT
1761,工,71,33,6,高,高,4014599,教育
1762,工,71,35,8,高,高,3969753,金融
1763,経済,81,40,10,中,低,4546974,金融
1764,工,90,38,9,高,高,3916209,製造
1765,工,72,33,9,高,高,3939122,金融
1766,文,73,37,8,低,中,2473347,製造
1767,文,78,38,7,高,中,2455150,製造
1768,経済,81,40,10,高,低,4453463,金融
1769,理,74,31,9,中,低,2911329,製造
1770,工,89,33,9,低,高,3900799,製造
1771,文,53,40,7,高,中,2456541,教育
1772,工,93,33,8,低,高,4018424,教育
1773,工,84,37,7,高,高,4025128,金融
1774,工,75,36,7,低,高,4048448,IT
1775,理,61,40,8,高,低,3124157,製造
1776,文,54,40,8,低,中,2569668,教育
1777,理,97,32,5,中,低,2845566,製造
1778,工,79,35,9,低,高,3945367,製造
1779,理,80,35,4,中,低,2827992,製造
1780,理,82,30,9,高,低,3141813,IT
1781,文,64,37,5,低,中,2547864,教育
1782,工,88,35,7,中,高,3990840,IT
1783,理,78,37,7,低,低,2957353,製造
1784,理,96,31,8,低,低,2951984,IT
1785,経済,84,39,7,中,低,4429544,IT
1786,工,84,36,9,低,高,4042938,教育
1787,文,72,36,7,低,中,2460315,製造
1788,理,75,38,4,中,低,2814869,IT
1789,経済,81,40,8,高,低,4411795,IT
1790,工,83,36,8,高,高,3947308,金融
1791,経済,81,38,9,高,低,4450790,製造
1792,文,74,36,7,高,中,2446687,教育
1793,工,80,38,6,中,高,4046954,IT
1794,経済,83,39,10,中,低,4474332,金融
1795,工,75,35,6,中,高,3959776,製造
1796,理,70,38,9,低,低,3001378,金融
1797,文,55,36,7,中,中,2531459,教育
1798,文,66,38,6,高,中,2446758,製造
1799,工,87,33,9,低,高,4046918,金融
1800,経済,93,39,8,高,低,4437708,製造
1801,文,51,36,7,中,中,2557800,IT
1802,文,62,36,5,高,中,2593124,教育
1803,経済,90,38,10,低,低,4516546,教育
1804,文,72,39,7,高,中,2471878,製造
1805,経済,97,39,9,高,低,4472301,金融
1806,工,88,36,8,低,高,3974384,教育
1807,文,53,38,8,中,中,2539514,教育
1808,文,67,39,7,低,中,2492840,金融
1809,経済,81,39,9,中,低,4448067,教育
1810,文,74,38,5,中,中,2592090,金融
1811,工,93,35,9,高,高,4009427,製造
1812,理,69,31,7,高,低,2895380,教育
1813,理,61,34,9,高,低,3171215,教育
1814,経済,81,41,9,高,低,4597885,金融
1815,工,89,36,9,低,高,3986248,教育
1816,理,89,30,4,中,低,3193822,製造
1817,理,63,31,5,高,低,2937387,IT
1818,工,88,38,8,高,高,4019187,IT
1819,文,61,36,6,中,中,2442302,金融
1820,工,85,35,6,中,高,4047475,製造
1821,文,75,35,8,高,中,2547055,IT
1822,経済,80,41,8,中,低,4402977,IT
1823,理,95,39,9,低,低,2992405,製造
1824,経済,92,41,10,低,低,4432069,教育
1825,文,60,37,6,中,中,2486564,製造
1826,工,77,33,6,高,高,3949607,教育
1827,工,77,35,9,高,高,3909014,金融
1828,文,67,39,7,中,中,2401883,IT
1829,理,70,31,7,高,低,3100008,金融
1830,工,92,37,9,高,高,3931585,教育
1831,文,71,39,5,中,中,2569244,製造
1832,工,84,37,6,低,高,4034550,製造
1833,工,88,38,9,高,高,3942821,教育
1834,理,98,37,7,低,低,3042625,IT
1835,理,95,31,8,高,低,3172343,製造
1836,工,73,34,7,中,高,4025665,教育
1837,経済,93,39,8,中,低,4424946,製造
1838,工,94,38,7,高,高,3957171,製造
1839,理,82,39,7,高,低,3172607,IT
1840,文,58,36,5,低,中,2474582,IT
1841,経済,99,38,9,低,低,4535193,製造
1842,経済,80,40,9,中,低,4505406,金融
1843,理,95,36,5,高,低,2916734,製造
1844,経済,92,42,10,低,低,4467281,IT
1845,理,84,35,8,高,低,2930165,教育
1846,文,77,35,5,低,中,2575385,金融
1847,経済,83,39,10,中,低,4534225,金融
1848,工,90,36,8,中,高,3995900,IT
1849,文,61,39,8,低,中,2419548,金融
1850,経済,89,41,8,低,低,4424378,IT
1851,経済,89,38,9,中,低,4511088,教育
1852,理,86,31,6,中,低,3193306,金融
1853,文,61,37,6,中,中,2519505,製造
1854,文,75,40,6,高,中,2455527,教育
1855,経済,90,41,7,中,低,4517934,金融
1856,文,85,39,8,低,中,2415349,金融
1857,経済,87,38,8,中,低,4495552,IT
1858,工,87,38,8,低,高,4002770,教育
1859,経済,85,39,7,低,低,4570087,教育
1860,文,72,37,6,中,中,2460437,金融
1861,工,72,34,8,高,高,4012962,教育
1862,理,98,34,8,高,低,3191121,金融
1863,文,83,36,6,低,中,2546921,製造
1864,経済,88,42,8,低,低,4413077,金融
1865,経済,99,39,8,低,低,4452676,教育
1866,経済,94,39,10,高,低,4554595,製造
1867,工,82,36,8,中,高,3939654,IT
1868,経済,85,38,8,高,低,4418075,教育
1869,文,83,37,8,低,中,2593665,金融
1870,経済,96,39,9,高,低,4563261,金融
1871,文,87,38,5,高,中,2499101,金融
1872,工,72,35,6,高,高,3916888,製造
1873,文,80,38,6,高,中,2548729,金融
1874,文,78,40,6,低,中,2462999,教育
1875,工,91,36,6,中,高,4046045,金融
1876,文,70,40,5,低,中,2578648,教育
1877,理,68,36,9,中,低,3157144,製造
1878,文,52,37,5,高,中,2581308,教育
